bin,n,predicted_pd,observed_pd
0,67428,0.028358198194132087,0.011833105852523063
1,67427,0.034079153200147566,0.01724182533450247
2,67427,0.03860571440647622,0.028391430076920243
3,67427,0.043340944881696764,0.03449629404875887
4,67427,0.0481879455711479,0.04297923944782045
5,67427,0.05315282135408168,0.05332856911831563
6,67427,0.05943762211122586,0.0620170449433195
7,67427,0.06678005366022743,0.07598767538516138
8,67427,0.08062434847590377,0.0984603728551805
9,67428,0.1178813674244491,0.14741148992142206
