bin,n,predicted_pd,observed_pd
0,67428,0.03313539038749672,0.0386783815241748
1,67427,0.044013299680419796,0.05348438028603053
2,67427,0.053664529907842165,0.0813206440301979
3,67427,0.06403826551785365,0.1023461807013426
4,67427,0.07472104818987223,0.1147679185006627
5,67427,0.08661493112792196,0.1430045377791418
6,67427,0.1034942291392428,0.1660131782602131
7,67427,0.12181119574492404,0.1876790340201192
8,67427,0.15733890549486448,0.23266695454854758
9,67428,0.25182629970236836,0.3113814207648632
