bin,n,predicted_pd,observed_pd
0,67428,0.033820179931717514,0.03862475325489223
1,67427,0.04439792114588306,0.05283324098001119
2,67427,0.05429384970221854,0.08146900427697434
3,67427,0.06433295205949995,0.1018931478491617
4,67427,0.07512420585915622,0.11524821855571943
5,67427,0.087146869134976,0.14371749409793455
6,67427,0.10360450736409564,0.16461577349186352
7,67427,0.12193916075086918,0.18911608582083472
8,67427,0.15713721168214587,0.23186976344246246
9,67428,0.2508130696287651,0.31143983239712414
