bin,n,predicted_pd,observed_pd
0,67428,0.06743604433229596,0.05746035767198843
1,67427,0.09681099180343249,0.09775333518015761
2,67427,0.13207017634574356,0.13237307663888553
3,67427,0.16268142718935513,0.16281739541721163
4,67427,0.19307260194119166,0.18919651824931827
5,67427,0.22547646718591752,0.21953968889086872
6,67427,0.2585849013424881,0.2535627559895616
7,67427,0.2975262873752721,0.288958598533434
8,67427,0.35148077100168335,0.337749706272635
9,67428,0.4640939250993772,0.43961498822872835
