bin,n,predicted_pd,observed_pd
0,67428,0.07522593200482557,0.060232444350024394
1,67427,0.10238072771457976,0.09766639942173905
2,67428,0.13177403579397814,0.13281862343622153
3,67426,0.1597017683741835,0.1616620048210402
4,67427,0.18628050944105273,0.1912000550200249
5,67427,0.21733301335825753,0.22052068646470968
6,67427,0.2497927700774709,0.25511882542236786
7,67427,0.2882769825378013,0.29047500802540227
8,67427,0.3403071903815756,0.3378798488104475
9,67428,0.43698125082451184,0.4375058581079526
