bin,n,predicted_pd,observed_pd
0,67428,0.029037431146762348,0.011248688914637928
1,67427,0.04770931010622714,0.01905079841003976
2,67427,0.07477896582101363,0.028468004963399185
3,67427,0.09994308048033843,0.03890101202656249
4,67427,0.12251001849536511,0.04516648229756104
5,67427,0.14719372860364552,0.056220507870349934
6,67427,0.17413935906074457,0.06704603589699676
7,67427,0.20764117782914035,0.0765036197546809
8,67427,0.26274392758800874,0.0914884044956562
9,67428,0.4272028124132827,0.1266466549876616
