bin,n,predicted_pd,observed_pd
0,67430,0.02307618566052984,0.04915531325039635
1,67425,0.0451349134926094,0.0945118461078186
2,67427,0.06402639487401175,0.12216549327296689
3,67427,0.0798245651677366,0.15211589872312192
4,67427,0.09744499231969994,0.18363141437091135
5,67427,0.11842585706660605,0.211212994446071
6,67427,0.14072751488486818,0.24302050585838142
7,67427,0.1663569422490371,0.2747617722603952
8,67427,0.20191559700850115,0.31781895189867015
9,67428,0.2927746491688684,0.4174853337966822
