bin,n,predicted_pd,observed_pd
0,67429,0.01832219141834254,0.027316404731385413
1,67427,0.03488615737370192,0.05493877797644742
2,67427,0.050441318369117534,0.07512144273072474
3,67426,0.06370062799935056,0.09503360390392501
4,67427,0.07842791827532936,0.11443858305972365
5,67428,0.09512753906821826,0.1378204834542387
6,67426,0.11331431200410741,0.15968715721021398
7,67427,0.13451073653673887,0.1868082003001118
8,67427,0.16413722082185556,0.22888779721411567
9,67428,0.23956624166343307,0.3136552844679963
